a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios
7151,1083295,C. Caramarcu,,,,A5070973707,C. Caramarcu; Costin Caramarcu
7152,1083296,E. Galyaev,,,,A5071263165,E. Galyaev; Eugene Galyaev; Eugene N. Galyaev
7153,1083297,J. Deng,,,,A5071276729,J. Deng; J.W. Deng; Jiawei Deng; Jia‐Wei Deng
7154,1083298,M. Wen,,,,A5071278320,M. Wen; Mei Wen
7155,1083299,E. Rauter,,,,A5071866642,E. Rauter; Emanuel Rauter
7156,1083300,X. S. Anduaga,,,,A5072018685,X. Anduaga; X. S. Anduaga; X._S. Anduaga
7157,1083301,J. Wang,,,,A5072167383,J. Wang
7158,1083302,Jin Gao,0009-0005-6840-3695,,,A5072372731,G. Jin; G. M. Jin; Genming Jin; Gen‐Ming Jin; G.‐M. Jin; Gao Jin; Gaofeng Jin; Guanghui Jin; Guang‐Hui Jin; Guili Jin; Guishan Jin; Guiyun Jin; Gui‐Li Jin; Gui‐Yun Jin; Guosheng Jin; Guozhu Jin; JIN Gui‐shan; Jin G; Jin Gao; Jin Gao‐feng; Jin Genming; Jin Gen‐Ming; Jin Guang‐hui; Jin Guili; Jin Guishan; Jin Guiyun; Jin Gui‐li; Jin Guo‐sheng
7159,1083303,Y. Pylypchenko,,,,A5072454243,Y. Pylypchenko; Yu. Pylypchenko
7160,1083304,N. F. Castro,,,,A5072721878,N. Castro; N. F. Castro
7161,1083305,F. Chevallier,,,,A5072817481,F. Chevallier; Florent Chevallier
7162,1083306,J. C. Hart,,,,A5072927242,J. C. Hart; J. Hart; J.C Hart; Jc Hart; Jordan Hart
7163,1083307,A. Paoloni,0000-0002-4141-7799,,http://www.scopus.com/inward/authorDetails.url?authorID=6701472211&partnerID=MN8TOARS,A5073062553,A. Paoloni; Alessandro Paoloni
7164,1083308,P. Savva,,,,A5073105536,P. Savva; P.S. Savva; Panagiota Savva
7165,1083309,A. Camard,,,,A5073553246,A. Camard; A. Yassima Camard; Arnaud Camard
7166,1083310,Y. Gusakov,,,,A5074343072,Y. Gusakov; Y. u. V. Gusakov; Yury Gusakov
7167,1083311,L. Xaplanteris,,,,A5074363405,L. C. Xaplanteris; L. Xaplanteris; Loukas C. Xaplanteris
7168,1083312,W. G. Plano,,,,A5074440161,W. G. Plano; W. Plano; Will Plano
7169,1083313,B. Li,,,,A5074492858,B. Li
7170,1083314,H. Li,,,,A5074655361,H. Li
7171,1083315,M. Liu,,,,A5074659354,M. Liu
7172,1083316,N. Austin,,,,A5074927684,N. Austin; Nicholas Austin; Norman A. Austin
7173,1083317,R. Porter,0000-0003-1905-6701,,,A5075362660,R. Porter; Robert Porter; R. J. Porter; R. Jefferson Porter; Robert J. Porter; Robert Jefferson Porter
7174,1083318,T. Ohsugi,,,,A5075493545,Ohsugi Takashi; T. Ohsugi; Takashi Ohsugi
7175,1083319,C. Tsarouchas,,,,A5075648641,C. Tsarouchas; Charilaos Tsarouchas; C A Tsarouchas; Charilaos A. Tsarouchas
7176,1083320,M. Marchesotti,,,,A5075864028,M. Marchesotti; Marco Marchesotti
7177,1083321,S. Zimmermann,,,,A5076166777,S. Zimmermann; Sebastian Zimmermann
7178,1083322,Z. Zhang,,,,A5076343103,Z. Zhang
7179,1083323,P. J. Magalhaes Martins,,,,A5076665916,Paulo Magalhaes Martins; P. J. Magalhaes Martins; P. J. Magalhaes Martinsa
7180,1083324,T. Alexopoulos,,,,A5077312719,T. Alexopoulos; T.‐H. Alexopoulos; Th. Alexopoulos
7181,1083325,M. D. M. Capeans Garrido,,,,A5077330235,M. D M Capeans Garrido; M. D. M. Capeans Garrido; Maria Del Mar Capeans Garrido
7182,1083326,A. A. Grillo,0000-0003-2950-1872,,,A5077357566,A. A. Grillo; A. Grillo; A.A Grillo; Alex Grillo
7183,1083327,J. D. Hansen,0009-0008-4642-7807,,,A5077517251,J. Hansen; Jb Hansen; J D. Hansen; J. D. Hansen; J. Dines Hansen; J.D Hansen
7184,1083328,C. Cerna,,,,A5078371989,C. Cerna; Cedric Cerna; Cédric Cerna
7185,1083329,V. Grabski,0000-0002-9581-0879,,,A5078431844,V. Grabski; V. H. Grabski; Varlen Grabski
7186,1083330,P. A. Gorbounov,0000-0001-9135-1516,,,A5078453324,P. A. Gorbounov; P. Gorbounov; P.A Gorbounov; Petr Andreevich Gorbounov; Petr Gorbounov
7187,1083331,M. Heldmann,,,,A5078510372,M. Heldmann; Michael Heldmann
7188,1083332,J. Alonso,0000-0002-0220-4846,,,A5078678356,J. Alonso; J. R Alonso; J. R. Alonso; J. R. F. Alonso; J.R.F Alonso; Jose Alonso; Jose R. Alonso; Jose Ramon Alonso; José Alonso
7189,1083333,M. P. J. Landon,,,,A5078716581,M. Landon; Murrough Landon; M. P J Landon; M. P. J. Landon; M. P. Landon
7190,1083334,I. M. Trigger,,,,A5079395770,I. M. Trigger; I. Trigger
7191,1083335,D. Typaldos,,,,A5079477102,D. Typaldos
7192,1083336,Ö. Runólfsson,,,,A5079708038,O. Runolfsson; Ö. Runolfsson; O. Runólfsson; O. Rúnolfsson; O.Oe. Runolfsson; Oe. Runolfsson; Ö. Runólfsson
7193,1083337,A. V. Zenin,,,,A5079732360,A. V. Zenin; A. Zenin; Anton Zenin
7194,1083338,P. V. Tsiareshka,,,,A5079925158,P. Tsiareshka; P. V. Tsiareshka
7195,1083339,M. Mathes,,,,A5080146073,M. Mathes; Markus Mathes; Markus Mathés
7196,1083340,D. Fasching,,,,A5080887896,D. Fasching; Damon Fasching; Damon Paul Fasching
7197,1083341,K. Horton,,,,A5081154823,K. Horton; Katherine Horton
