a,person_id,fio,orcid,researcherId,scopusId,openAlexId,alt_fios,cluster_id
39666,1023553,A. Brinkerhoff,0000-0002-4819-7995,,,A5083108771,A. Brinkerhoff; Andrew Brinkerhoff,1034
40723,1024611,A. Brinkerhoff,0000-0002-4853-0401,,,A5070722336,A. Brinkerhoff; Andrew Brinkerhoff,1034
41324,1025363,A. Barbaro Galtieri,,,,A5004761615,A. Barbaro Galtieri; A. Galtieri; A.B. Galtieri; Angela Barbaro Galtieri,1035
46158,1033260,A. Barbaro‐Galtieri,,,,A5036764859,A. Barbaro‐Galtieri; A. S. Barbaro‐Galtieri; Angela S. Barbaro‐Galtieri; Angela. Barbaro‐Galtieri,1035
42167,1026206,A. Bat,0000-0001-5423-4599,,,A5022581534,A. Bat; Ayse Bat; Ayşe BAT; Ayşe BAT>,1036
42510,1026549,A. Baty,0000-0001-5310-3466,,,A5058956984,A. Baty; Austin A. Baty; Austin Alan Baty; Austin Baty,1036
42801,1026840,A. Bundock,,,,A5088328498,A. Bundock; A.C. Bundock,1037
43111,1027153,A. Bundock,0000-0002-2916-6456,,,A5014398837,A. Bundock; A. C. Bundock; Aaron Bundock; Aaron Colin Bundock,1037
44962,1029697,A. Bay,0000-0002-4862-9399,,,A5063750433,A. Bay; Aurelio Bay,1038
49944,1042015,A. Bay,,,,A5068373174,A. Bay; A. S. Bay; Annick Bay; Bay Annick,1038
45029,1029764,A Buchler Germann,,,,A5075815634,A Buchler Germann,1039
50313,1042503,A. Büchler-Germann,,,,A5082554470,A. Buchler‐Germann; A. Büchler‐Germann; Angela Buchler‐Germann; Angela Büchler‐Germann,1039
46507,1033609,A. Bertolini,0000-0002-0456-2452,,,A5057437867,A. Bertolini; Alessandro Bertolini,1040
48660,1039951,A. Bertolin,0000-0003-1393-4315,,,A5003784984,A. Bertolin; Alessandro Bertolin; Bertolin Alessandro,1040
48844,1040216,A. Bertolin,,,,A5023702950,A. Bertolin; A.B. Bertolin; Ab Bertolin,1040
48845,1040217,A. Beiter,,,,A5023962482,A. Beiter; Andy Beiter,1041
49451,1040823,A. Beiter,,,,A5060902512,A. Beiter; A. H. Beiter; Andrew Beiter,1041
49196,1040568,A. B. Morris,0000-0002-0832-9199,,,A5077067322,A. . B. Morris; A. B Morris; A. B. Morris; A. Morris; A. ‐B. Morris; Adam B Morris; Adam Benjamin Morris; Adam Morris,1042
49478,1040850,A. B. Morris,,,,A5072954178,A. B Morris; A. B. Morris; A. Morris; A.‐B. Morris,1042
2628,1070433,D. A. Suprunenko,,,,A5013980548,D. A. Suprunenko; D. Suprunenko,1043
35630,1005076,D. A. Supruneko,,,,A5001927209,D. A. Supruneko,1043
3632,1079776,D. A. Maximov,,,,A5007312001,D. A. Maximov; D. Maximov,1044
6678,1082822,D. A. Maximov,,,,A5086876441,D. A. Maximov; Dmitriy Maximov; D. Maximov; D.A Maximov,1044
29155,1107356,D. A. Maximov,0000-0001-8783-3758,,,A5083178636,D. A. Maximov; D. Maksimov; Dmitriy Maximov; Dmitry Maksimov,1044
4600,1080744,D. A. Soh,,,,A5045540629,D. A. Soh; Dart‐Yin Soh; Dart‐yin A. Soh,1045
9739,1086835,D. A. Soh,,,,A5037412675,D. A. Soh; D. Soh; Da Soh,1045
4885,1081029,D. A. Milstead,,,,A5056810904,D. Milstead; David Milstead; D. A. Milstead; D.A Milstead; David A. Milstead; David Anthony Milstead,1046
14624,1092117,D. A. Milsteada,,,,A5009952776,D. A. Milsteada,1046
6002,1082146,D. Amidei,0000-0002-6814-0355,,,A5016990122,D. Amidei; D.E. Amidei; Dante Amidei; Dante E. Amidei; Dante Eric Amidei,1047
41473,1025512,D. Amidei,,,,A5038718241,D. Amidei; Dan Amidei,1047
6264,1082408,D. A. DeMarco,0000-0002-8921-8828,,,A5043947256,D. A. Demarco; David A. DeMarco; David Anthony DeMarco; David Demarco,1048
21840,1099912,D. A. De Marco,,,,A5072016410,D. A. De Marco,1048
6645,1082789,D. Álvarez Piqueras,0000-0002-5193-1492,,,A5083256723,D. Alvarez Piqueras; D. Álvarez Piqueras; Damian Alvarez Piqueras; Dami{a}n {A}lvarez Piqueras; Damián Alvarez Piqueras; Damián Álvarez Piqueras; Damián Άlvarez Piqueras,1049
17488,1095492,D. ÁlvarezPiqueras,,,,A5060941047,D. ÁlvarezPiqueras,1049
14887,1092380,D. A. Roa Romero,,,,A5089929520,D. A R Romero; D. A Roa Romero; D. A. Roa Romero; D. Romero; Dar Romero,1050
22522,1100612,D. A. A. Roa Romero,,,,A5001184832,D. A. A. Roa Romero,1050
44724,1029459,D. A. Roa Romero,0000-0002-3133-7904,,,A5024508959,D. A R Romero; D. A Roa Romero; D. A. Roa Romero; D. Romero; Diego A. Roa Romero; Diego Alejandro Roa Romero; Diego Romero,1050
38892,1022779,D. A. Sanders,0000-0002-4902-966X,,,A5051715408,D. Sanders; D. A. Sanders; D A. Sanders; D. A Sanders; Da A. Sanders; Da Sanders; Sanders Da,1051
47411,1034855,D. A. Sanders,,,,A5049976863,D. Sanders; D. A. Sanders; D.A Sanders; David A. Sanders; David Alan Sanders; David Sanders,1051
42205,1026244,D. A Hangal,,,,A5026072837,D. A Hangal; DA Hangal,1052
43060,1027102,D. A. Hangal,0000-0002-3826-7232,,,A5009679897,D. A Hangal; D. A. Hangal; D. Hangal; Dhanush Anil Hangal; Dhanush Hangal,1052
44708,1029443,D. A. Milanés,0000-0001-7450-1121,,,A5021114951,D. A Milanes; D. A. Milanes; D. A. Milanés; D. Milanes; Diego A. Milanes; Diego A. Milanés; Diego Alejandro Milanes; Diego Milanes; Diego Milanés,1053
49358,1040730,D. A. Milanes,,,,A5024300301,D. A Milanes; D. A. Milanes; D. Milanes; Da Milanes,1053
3283,1079383,R. L. McCarthy,,,,A5001028932,R. L. Mccarthy; R. Mccarthy; Robert L. McCarthy; Robert Lane McCarthy; Robert Lane. Mccarthy; Robert Mccarthy; Ryan Mccarthy,1054
7587,1084488,R. L. McCarthy,,,,A5074615060,R. L. Mccarthy; R. Mccarthy,1054
5449,1081593,R. L. Bates,0000-0002-6923-5372,,,A5077860363,R. Bates; R. L. Bates; R.. Bates; R.L Bates; Richard Bates; Richard L. Bates; Richard Larry Bates,1055
9662,1086758,R. L. Bates,,,,A5025387924,R. Bates; R. L. Bates,1055
6089,1082233,R. L. Sandbach,,,,A5027590484,R. L. Sandbach; Ruth Laura Sandbach,1056
7828,1084924,R. L. Sandbach,,,,A5091338861,R. L. Sandbach,1056
19604,1097638,R. Loos,,,,A5048910011,R. Loos; R. W. M. Loos; Robert Loos,1057
44231,1028504,R. Loos,,,,A5030381049,R. Loos; Rob Loos,1057
37760,1021647,R. López-Fernández,0000-0002-2389-4831,,,A5007994581,R. Lopez‐Fernandez; R. López‐Fernandez; R. López‐Fernández; Ricardo Lopez‐Fernandez; Ricardo López‐Fernández; Rosalía López‐Fernández,1058
39993,1023881,R. Lopez Fernandez,,,,A5014755518,R. Lopez Fernandez; Rodríguez Fernández,1058
38563,1022450,R. Lane,,,,A5039472002,R. Lane; Rebecca Charlotte Lane; Rebecca Lane; Roger Lane,1059
41300,1025339,R. Lane,0000-0002-2360-2392,,,A5086834097,R G T Lane; R. G. Lane; R. Lane; R.G Lane; Richard G. Lane; Richard George Lane; Richard Lane; Richard. G. Lane,1059
39464,1023351,R. Lander,,,,A5075093731,R. L. Lander; R. Lander; Richard L. Lander; Richard Lander; Richard Leon. Lander,1060
40714,1024602,R. Lander,,,,A5064009085,Lander Rl; R. L. Lander; R. Lander; R.L Lander; Rl L. Lander; Rl Lander,1060
