person1,person2,common_pubs
1024225,1022934,16
1024225,1022313,5
1024225,1021894,26
1024225,1006181,24
1024225,1021781,17
1024225,1023566,10
1024225,1023837,24
1024225,1022616,17
1024225,1024021,8
1024225,1021643,17
1024225,1023125,10
1024225,1023561,22
1024225,1022958,24
1024225,1022058,22
1024225,1022267,26
1024225,1023737,26
1024225,1023536,20
1024225,1023931,9
1024225,1021547,26
1024225,1021514,6
1024225,1023446,26
1024225,1023771,26
1024225,1021657,26
1024225,1034890,7
1024225,1022056,25
1024225,1022311,19
1024225,1022740,22
1024225,1022102,26
1024225,1023039,20
1024225,1023884,7
1024225,1023270,6
1024225,1022721,20
1024225,1022034,26
1024225,1027733,9
1024225,1023634,26
1024225,1024238,26
1024225,1023584,22
1024225,1022824,21
1024225,1022569,26
1024225,1023298,26
1024225,1022817,26
1024225,1021767,26
1024225,1024586,1
1024225,1027427,12
1024225,1022931,8
1024225,1023477,26
1024225,1022859,26
1024225,1024291,8
1024225,1024450,26
1024225,1022202,26
1024225,1027970,15
1024225,1023286,2
1024225,1023241,26
1024225,1023276,26
1024225,1022791,26
1024225,1023460,24
1024225,1022171,25
1024225,1022498,26
1024225,1023274,21
1024225,1025798,12
1024225,1021749,21
1024225,1035265,12
1024225,1022723,23
1024225,1023394,26
1024225,1021598,26
1024225,1021678,26
1024225,1023347,26
1024225,1022409,26
1024225,1035193,2
1024225,1005744,26
1024225,1023257,26
1024225,1023141,26
1024225,1025730,4
1024225,1023033,26
1024225,1023953,24
1024225,1022441,18
1024225,1023912,4
1024225,1021770,26
1024225,1022213,26
1024225,1034867,24
1024225,1022851,26
1024225,1021989,12
1024225,1022319,26
1024225,1022866,26
1024225,1005563,25
1024225,1022732,26
1024225,1022968,26
1024225,1021863,24
1024225,1021548,26
1024225,1022530,26
1024225,1010829,1
1024225,1022683,26
1024225,1023079,20
1024225,1022040,1
1024225,1023608,20
1024225,1022353,26
1024225,1026160,24
1024225,1022587,17
1024225,1024292,13
1024225,1023399,26
1024225,1034932,24
1024225,1023704,26
1024225,1024165,10
1024225,1022559,22
1024225,1021441,26
1024225,1035161,1
1024225,1021740,25
1024225,1022367,26
1024225,1023726,4
1024225,1024280,10
1024225,1023207,2
1024225,1022277,26
1024225,1022492,26
